=== Experiment 001: Gettysburg Address ===
Date: Sun Apr  5 05:20:06 PM EDT 2026
Running exp001...
Loading data... 50257 tokens x 768d

=== Real Text: Gettysburg Address ===
  Total tokens: 286
  Unique tokens: 143
  Unique ratio: 50.0%
  Most repeated:
    ","          x20
    " that"      x13
    "."          x9
    " we"        x8
    " a"         x7
  Tokens appearing once: 95

  Decomposing (trace mode)...
   Step        Norm  Token              Hit?
     18  81.1005  " that"            HIT
     19  80.6533  " in"              HIT
     20  80.2261  ","                HIT
     21  79.8012  " that"            HIT
     22  79.3635  ","                HIT
     23  78.9466  " in"              HIT
     24  78.5325  " that"            HIT
     25  78.1050  " the"             HIT
     26  77.6934  ","                HIT
     27  77.2883  " in"              HIT
     28  76.8871  " that"            HIT
     29  76.4725  " the"             HIT
     30  76.0735  ","                HIT
     31  75.6810  " that"            HIT
     32  75.2786  " in"              HIT
     33  74.8928  " we"              HIT
     34  74.4513  ","                HIT
     35  74.0709  " the"             HIT
     36  73.6871  " to"              HIT
     37  73.3121  " we"              HIT
     38  72.8819  " a"               HIT
     39  72.5039  " that"            HIT
     40  72.1222  ","                HIT
     41  71.7565  " we"              HIT
     42  71.3385  " in"              HIT
     43  70.9770  " a"               HIT
     44  70.6134  " to"              HIT
     45  70.2578  " we"              HIT
     46  69.8520  " have"            HIT
     47  69.4544  ","                HIT
     48  69.1052  " that"            HIT
     49  68.7454  " the"             HIT
     50  68.3981  " have"            HIT
     51  68.0116  " to"              HIT
     52  67.6714  " we"              HIT
     53  67.2810  " a"               HIT
     54  66.9405  ","                HIT
     55  66.6094  " have"            HIT
     56  66.2351  " for"             HIT
     57  65.8955  " we"              HIT
     58  65.5194  " that"            HIT
     59  65.1856  " not"             HIT
     60  64.8029  " in"              HIT
     61  64.4864  " have"            HIT
     62  64.1270  " a"               HIT
     63  63.8081  " we"              HIT
     64  63.4494  " to"              HIT
     65  63.1399  " are"             HIT
     66  62.8062  " for"             HIT
     67  62.4930  " not"             HIT
     68  62.1339  ","                HIT
     69  61.8360  " can"             HIT
     70  61.4821  " we"              HIT
     71  61.1424  " the"             HIT
     72  60.8457  " have"            HIT
     73  60.5147  " and"             HIT
     74  60.2167  " that"            HIT
     75  59.9228  " not"             HIT
     76  59.5877  " can"             HIT
     77  59.2561  " this"            HIT
     78  58.9499  " we"              HIT
     79  58.6346  " for"             HIT
     80  58.3534  " have"            HIT
     81  58.0460  " so"              HIT
     82  57.6963  " here"            HIT
     83  57.2901  " great"           HIT
     84  56.8861  " will"            HIT
     85  56.5708  " of"              HIT
     86  56.2953  " people"          HIT
     87  55.9412  " a"               HIT
     88  55.6756  " nation"          HIT
     89  55.2388  " and"             HIT
     90  54.9696  " —"               HIT
     91  54.6055  " not"             HIT
     92  54.2997  " are"             HIT
     93  54.0208  " here"            HIT
     94  53.6365  " great"           HIT
     95  53.2568  " this"            HIT
     96  52.9814  " will"            HIT
     97  52.6906  " nation"          HIT
     98  52.2743  " to"              HIT
     99  52.0268  " we"              HIT
    100  51.7455  " —"               HIT
    101  51.4014  " what"            HIT
    102  51.1115  " people"          HIT
    103  50.7909  " can"             HIT
    104  50.5084  " so"              HIT
    105  50.2018  " here"            HIT
    106  49.8511  " great"           HIT
    107  49.5036  " of"              HIT
    108  49.2624  " have"            HIT
    109  49.0004  " nation"          HIT
    110  48.6106  " long"            HIT
    111  48.2549  " —"               HIT
    112  47.9317  " their"           HIT
    113  47.6588  " not"             HIT
    114  47.3907  " who"             HIT
    115  47.1090  " be"              HIT
    116  46.8485  " and"             HIT
    117  46.6234  " our"             HIT
    118  46.3511  " dead"            HIT
    119  45.9563  " nation"          HIT
    120  45.5959  " here"            HIT
    121  45.2737  " it"              HIT
    122  45.0507  " war"             HIT
    123  44.6948  " will"            HIT
    124  44.4441  " —"               HIT
    125  44.1460  " men"             HIT
    126  43.8194  " as"              HIT
    127  43.5982  " long"            HIT
    128  43.2806  " give"            miss
    129  43.0035  " these"           HIT
    130  42.7456  " died"            HIT
    131  42.4025  " shall"           HIT
    132  42.0846  " new"             HIT
    133  41.8030  " but"             HIT
    134  41.5704  " what"            HIT
    135  41.3326  " never"           HIT
    136  41.0313  " nation"          HIT
    137  40.7022  " of"              HIT
    138  40.4979  " come"            HIT
    139  40.2142  " dedicated"       HIT
    140  39.6435  " dedicated"       HIT
    141  39.1352  " dedicated"       HIT
    142  38.6916  " consec"          HIT
    143  38.2201  " or"              HIT
    144  37.9801  " life"            miss
    145  37.6530  " great"           HIT
    146  37.3607  " —"               HIT
    147  37.0709  " did"             HIT
    148  36.8222  " their"           HIT
    149  36.5917  " dedicate"        HIT
    150  36.1689  " for"             HIT
    151  35.9657  " dead"            HIT
    152  35.6138  " devotion"        HIT
    153  35.2461  ","                HIT
    154  35.0487  " here"            HIT
    155  34.7605  " war"             HIT
    156  34.4442  " place"           HIT
    157  34.1197  " shall"           HIT
    158  33.8252  " living"          HIT
    159  33.4958  " it"              HIT
    160  33.2981  " men"             HIT
    161  33.0087  " sacred"          miss
    162  32.6707  " and"             HIT
    163  32.4727  " take"            HIT
    164  32.2335  " perished"        miss
    165  31.8747  " more"            miss
    166  31.6486  " these"           HIT
    167  31.4210  " because"         miss
    168  31.1940  " field"           HIT
    169  30.8677  " gave"            HIT
    170  30.6169  " measure"         HIT
    171  30.2477  " who"             HIT
    172  30.0234  " world"           HIT
    173  29.7530  " us"              HIT
    174  29.5080  " altogether"      HIT
    175  29.1770  ","                HIT
    176  28.9998  " should"          HIT
    177  28.7739  " dedicated"       HIT
    178  28.4408  " brave"           HIT
    179  28.1164  " but"             HIT
    180  27.9152  " last"            HIT
    181  27.6604  " conceived"       HIT
    182  27.2463  " or"              HIT
    183  27.0453  " struggle"        miss
    184  26.7382  " greater"         miss
    185  26.4732  " —"               HIT
    186  26.2125  " earth"           HIT
    187  25.9102  " from"            HIT
    188  25.7229  " liberty"         miss
    189  25.4062  "."                HIT
    190  25.2437  " five"            miss
    191  25.0270  " final"           HIT
    192  24.7604  "DeliveryDate"     miss
    193  24.3086  "."                HIT
    194  24.1359  " can"             HIT
    195  23.9282  " this"            HIT
    196  23.7379  " any"             HIT
