=== Experiment 003: Tale of Two Cities ===
Date: Sun Apr  5 07:14:45 PM EDT 2026
Running exp003...
Loading data... 50257 tokens x 768d

=== Real Text: tale-ch1.txt ===
  Total tokens: 1401
  Unique tokens: 638
  Unique ratio: 45.5%
  Most repeated:
    ","          x94
    "\n"         x90
    " the"       x74
    " of"        x54
    " and"       x37
  Tokens appearing once: 494

  Decomposing (trace mode)...
   Step        Norm  Token              Hit?
    384  1634.6615  " it"              HIT
    385  1633.0499  " had"             HIT
    386  1631.3629  ";"                HIT
    387  1629.5088  " an"              HIT
    388  1627.9745  " of"              HIT
    389  1626.3678  " were"            HIT
    390  1624.6379  " has"             miss
    391  1622.9945  ";"                HIT
    392  1621.1433  " an"              HIT
    393  1619.6124  " it"              HIT
    394  1618.0059  "The"              miss
    395  1616.3251  " were"            HIT
    396  1614.5983  ";"                HIT
    397  1612.7517  " had"             HIT
    398  1611.0728  " an"              HIT
    399  1609.5452  " with"            HIT
    400  1607.9608  ";"                HIT
    401  1606.1172  " it"              HIT
    402  1604.5160  " has"             miss
    403  1602.8790  " were"            HIT
    404  1601.1587  " of"              HIT
    405  1599.5620  " an"              HIT
    406  1598.0389  ";"                HIT
    407  1596.1987  "The"              miss
    408  1594.5258  " had"             HIT
    409  1592.8538  " it"              HIT
    410  1591.2579  ";"                HIT
    411  1589.4216  " were"            HIT
    412  1587.7068  " an"              HIT
    413  1586.1880  " to"              HIT
    414  1584.6401  " has"             miss
    415  1583.0117  ";"                HIT
    416  1581.1791  "The"              miss
    417  1579.5132  " were"            HIT
    418  1577.8027  " an"              HIT
    419  1576.2874  " with"            HIT
    420  1574.7161  " it"              HIT
    421  1573.1265  ";"                HIT
    422  1571.2982  " had"             HIT
    423  1569.6365  " they"            HIT
    424  1567.8931  " of"              HIT
    425  1566.3086  " an"              HIT
    426  1564.7981  " were"            HIT
    427  1563.0942  ";"                HIT
    428  1561.2698  " has"             miss
    429  1559.6509  " they"            HIT
    430  1557.9119  "."                HIT
    431  1556.0774  "The"              miss
    432  1554.4209  " an"              HIT
    433  1552.9158  " had"             HIT
    434  1551.2615  ";"                HIT
    435  1549.4430  " were"            HIT
    436  1547.7449  " it"              HIT
    437  1546.1665  " with"            HIT
    438  1544.6069  ";"                HIT
    439  1542.7913  " an"              HIT
    440  1541.2904  " they"            HIT
    441  1539.5593  " have"            HIT
    442  1537.9286  " of"              HIT
    443  1536.3575  " was"             HIT
    444  1534.7390  ";"                HIT
    445  1532.9276  " an"              HIT
    446  1531.4304  " were"            HIT
    447  1529.7410  "The"              miss
    448  1528.0956  " they"            HIT
    449  1526.3710  ";"                HIT
    450  1524.5642  " had"             HIT
    451  1522.9222  " an"              HIT
    452  1521.4292  " with"            HIT
    453  1519.8795  " it"              HIT
    454  1518.3138  ";"                HIT
    455  1516.5115  " has"             miss
    456  1514.9113  " were"            HIT
    457  1513.2289  " they"            HIT
    458  1511.5117  " to"              HIT
    459  1509.9932  "The"              miss
    460  1508.3579  ";"                HIT
    461  1506.5599  " an"              HIT
    462  1505.0742  " had"             HIT
    463  1503.4404  "\n"               HIT
    464  1501.8269  " they"            HIT
    465  1500.1144  ";"                HIT
    466  1498.3209  " were"            HIT
    467  1496.6466  " an"              HIT
    468  1495.1639  " of"              HIT
    469  1493.6101  " has"             miss
    470  1492.0208  ";"                HIT
    471  1490.2321  " it"              HIT
    472  1488.6785  " had"             HIT
    473  1487.0540  "\n"               HIT
    474  1485.4474  " they"            HIT
    475  1483.7437  " an"              HIT
    476  1482.2667  ";"                HIT
    477  1480.4822  " were"            HIT
    478  1478.8154  " that"            HIT
    479  1477.3215  "The"              miss
    480  1475.7008  " with"            HIT
    481  1474.1719  " had"             HIT
    482  1472.5548  ";"                HIT
    483  1470.7761  " an"              HIT
    484  1469.3040  " they"            HIT
    485  1467.6084  "\n"               HIT
    486  1466.0112  " were"            HIT
    487  1464.3528  "'s"               miss
    488  1462.4546  " an"              HIT
    489  1460.9875  ";"                HIT
    490  1459.2147  " has"             miss
    491  1457.6417  " they"            HIT
    492  1455.9517  " from"            HIT
    493  1454.4137  " were"            HIT
    494  1452.7609  "\n"               HIT
    495  1451.1716  ",\""              miss
    496  1449.4017  " an"              HIT
    497  1447.9392  ";"                HIT
    498  1446.1730  " it"              HIT
    499  1444.6395  " had"             HIT
    500  1443.0348  " of"              HIT
    501  1441.5059  "the"              HIT
    502  1439.7401  ",\""              miss
    503  1437.9751  " they"            HIT
    504  1436.2947  "\n"               HIT
    505  1434.7119  ";"                HIT
    506  1432.9523  " were"            HIT
    507  1431.3088  " an"              HIT
    508  1429.8535  " from"            HIT
    509  1428.3270  "'s"               miss
    510  1426.4481  "the"              HIT
    511  1424.6887  ",\""              miss
    512  1422.9310  " had"             HIT
    513  1421.3358  " they"            HIT
    514  1419.6627  "\n"               HIT
    515  1418.0872  ";"                HIT
    516  1416.3352  " an"              HIT
    517  1414.8866  " have"            HIT
    518  1413.3130  "the"              HIT
    519  1411.5601  ",\""              miss
    520  1409.8082  " from"            HIT
    521  1408.2894  " were"            HIT
    522  1406.6583  " that"            HIT
    523  1405.1935  "the"              HIT
    524  1403.4453  ";"                HIT
    525  1401.7007  " had"             HIT
    526  1400.1154  ",\""              miss
    527  1398.3699  " it"              HIT
    528  1396.8567  "\n"               HIT
    529  1395.2905  " they"            HIT
    530  1393.6305  "'s"               miss
    531  1391.7705  "In"               HIT
    532  1390.2096  "the"              HIT
    533  1388.4689  " from"            HIT
    534  1386.9597  ",\""              miss
    535  1385.2213  " were"            HIT
    536  1383.5996  ";"                HIT
    537  1381.8645  " been"            HIT
    538  1380.2856  " with"            HIT
    539  1378.7976  "\n"               HIT
    540  1377.2408  "the"              HIT
    541  1375.5062  " they"            HIT
    542  1373.8545  ",\""              miss
    543  1372.1227  " be"              HIT
    544  1370.5928  " had"             HIT
    545  1369.0214  ";"                HIT
    546  1367.2938  " that"            HIT
    547  1365.8458  " been"            HIT
    548  1364.2751  "In"               HIT
    549  1362.7264  "the"              HIT
    550  1360.9996  "'s"               miss
    551  1359.1569  " from"            HIT
    552  1357.6608  ",\""              miss
    553  1355.9370  "\n"               HIT
    554  1354.3905  " been"            HIT
    555  1352.8241  " they"            HIT
    556  1351.1832  " were"            HIT
    557  1349.5778  ";"                HIT
    558  1347.8608  "the"              HIT
    559  1346.1403  " be"              HIT
    560  1344.6216  " makes"           miss
    561  1343.0194  ",\""              miss
    562  1341.3031  " it"              HIT
    563  1339.8132  "\n"               HIT
    564  1338.2745  " been"            HIT
    565  1336.7162  " from"            HIT
    566  1335.2296  ";"                HIT
    567  1333.5194  "the"              HIT
    568  1331.8065  " makes"           miss
    569  1330.2101  " of"              HIT
    570  1328.7285  ",\""              miss
    571  1327.0199  " be"              HIT
    572  1325.5111  " they"            HIT
    573  1323.8829  " were"            HIT
    574  1322.2909  "In"               HIT
    575  1320.7622  " been"            HIT
    576  1319.2115  ";"                HIT
